Main.SALT2_Jacobian | [Info] Logging to /home/patricka/.julia/dev/SALT2_Jacobian/Examples/Outputs/CompareSufaces/log.txt
Main.SALT2_Jacobian | [Info] Comparing surfaces
Main.SALT2_Jacobian | [Info] Comparison:
┌───────────────────────────────┬────────────────────────┬──────────┬──────────┬────────────┐
│     Jacobian Trained Surfaces │ SALT2 Trained Surfaces │ Spline 1 │ Spline 2 │ Colour Law │
├───────────────────────────────┼────────────────────────┼──────────┼──────────┼────────────┤
│  Median Percentage Difference │                        │      0.0 │      0.0 │        0.0 │
│                               │                        │          │          │            │
│ Maximum Percentage Difference │               Spline 1 │          │          │            │
│                   TRAINOPT000 │            TRAINOPT000 │      0.0 │      0.0 │        0.0 │
│ Maximum Percentage Difference │               Spline 2 │          │          │            │
│                   TRAINOPT000 │            TRAINOPT000 │      0.0 │      0.0 │        0.0 │
│ Maximum Percentage Difference │             Colour Law │          │          │            │
│                   TRAINOPT000 │            TRAINOPT000 │      0.0 │      0.0 │        0.0 │
│                               │                        │          │          │            │
│                   TRAINOPT000 │            TRAINOPT000 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT001 │            TRAINOPT001 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT002 │            TRAINOPT002 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT003 │            TRAINOPT003 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT004 │            TRAINOPT004 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT005 │            TRAINOPT005 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT006 │            TRAINOPT006 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT007 │            TRAINOPT007 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT008 │            TRAINOPT008 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT009 │            TRAINOPT009 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT010 │            TRAINOPT010 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT011 │            TRAINOPT011 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT012 │            TRAINOPT012 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT013 │            TRAINOPT013 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT014 │            TRAINOPT014 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT015 │            TRAINOPT015 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT016 │            TRAINOPT016 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT017 │            TRAINOPT017 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT018 │            TRAINOPT018 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT019 │            TRAINOPT019 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT020 │            TRAINOPT020 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT021 │            TRAINOPT021 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT022 │            TRAINOPT022 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT023 │            TRAINOPT023 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT024 │            TRAINOPT024 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT025 │            TRAINOPT025 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT026 │            TRAINOPT026 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT027 │            TRAINOPT027 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT028 │            TRAINOPT028 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT029 │            TRAINOPT029 │      0.0 │      0.0 │        0.0 │
│                   TRAINOPT030 │            TRAINOPT030 │      0.0 │      0.0 │        0.0 │
